id,image_path,mainclass,latent_vector,cluster_label,cluster_center_distance
101,하이넥 루즈핏 플리츠 블라우스.jpg,top,"1.5353127,1.8266883,0.0,0.0,0.023171633,0.0,0.0,1.115202,0.0,0.0,0.0,0.0,1.6614764,0.0,0.6219051,0.11322367,1.5963593,0.0,0.0,0.4681015,0.0,0.0,2.3167582,0.08321267,1.7407305,1.0161963,3.6399422,0.0,0.0,0.0,2.1334136,1.3506044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0138438,3.4658828,0.0,0.0,2.4814208,4.457323,1.2752624,2.795116,0.0,0.3254528,0.0,0.03224069,1.7499818,0.51554084,0.0,0.0,0.9415722,0.0,0.0,0.41347408,0.0",3,0.84621024
102,하트 플라워 프린트 반팔 티셔츠 [LEMOHAU].jpeg,top,"2.1914835,2.0156384,0.0,0.0,0.0,0.0,0.0,1.7278833,0.0,0.43204355,0.0,0.0,2.1490571,0.0,0.9538702,1.1532744,2.7085373,0.0,0.0,0.9024081,0.0,0.0,0.7293962,0.0,0.7652681,0.6362925,4.457732,0.0,0.13381582,0.0,1.8062742,1.483446,0.0,0.0,0.0,0.0,0.0,0.0,0.40691447,0.0,0.0,0.0,0.0,2.0762281,2.6646452,0.0,0.68967783,1.879363,3.4138083,1.0691679,2.9623868,0.0,1.0548029,0.0,0.07086621,1.3284101,0.7919805,0.0,0.0,1.7566642,0.56714606,0.0,0.0,0.3768245",12,0.0
103,하프숄더 린넨 니트 2NT053.jpg,top,"1.4717424,1.2835157,0.0,0.0,0.0,0.0,0.0,0.9838708,0.0,0.0,0.0,0.0,2.0415714,0.0,0.50874275,0.36495122,1.7149191,0.0,0.0,0.0,0.0,0.0,2.1264496,0.0,1.1874382,0.35267115,3.748999,0.0,0.0,0.0,2.1261308,1.6265184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2589486,2.7948394,0.0,0.0,1.9956849,4.326807,1.4272122,2.737095,0.0,0.121718645,0.0,0.2580824,1.7053212,0.50810194,0.0,0.0,0.5381454,0.0,0.0,0.5172199,0.0",3,1.2870626
104,헤어리 아가일 가디건 [GREEN] _ S22F06122.jpg,top,"1.9132155,2.1973386,0.0,0.0,0.15472564,0.0,0.0,0.63362753,0.0,0.0,0.0,0.0,0.7091887,0.0,0.48171735,0.0,0.90886253,0.0,0.0,0.0,0.0,0.0,0.90038455,0.0,0.75019324,1.2006296,3.9639702,0.0,0.0,0.0,2.4870543,1.1491088,0.0,0.0,0.673481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4490848,3.072665,0.0,0.0,2.1484814,2.6585636,0.5415698,2.4294124,0.0,0.0,0.0,0.47363523,1.8627155,0.0,0.0,0.0,0.7261294,0.018988743,0.0,0.83890235,0.0",10,2.9802322e-08
105,홀가 레이스 모티브 반넥_VOCBLXS1211.jpeg,top,"1.256434,1.3753977,0.0,0.0,0.13570729,0.0,0.0,1.2101283,0.0,0.0,0.0,0.0,1.5710309,0.0,0.72784245,0.13832599,2.1853726,0.0,0.0,0.4216863,0.0,0.0,2.5970922,0.0,1.70193,0.88736093,3.9442353,0.0,0.0,0.0,1.9903374,1.4810076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1859913,3.2402396,0.0,0.0,2.2107172,4.467696,1.2964007,2.6285954,0.0,0.6475897,0.0,0.084439814,1.8308887,0.49239767,0.0,0.0,0.5979897,0.03782351,0.0,0.35996246,0.0",3,0.94643605
106,홀가 백타이 풀오버_VOCBLXS1411.jpeg,top,"1.6466238,1.4212202,0.0,0.0,0.0063631535,0.0,0.0,0.8090928,0.0,0.0,0.0,0.0,1.373211,0.0,0.76075906,0.14823449,1.8640748,0.0,0.0,0.14631593,0.0,0.0,2.4176507,0.0,1.4031028,1.0455291,3.5418708,0.0,0.0,0.0,2.0407538,1.1471231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4803884,3.1899552,0.0,0.0,1.9320927,4.65791,0.9551409,2.0471206,0.0,0.19668365,0.0,0.12671164,1.4629806,0.219432,0.0,0.0,0.89132667,0.0,0.0,0.5688114,0.0",6,0.8910699
107,홀스 패턴 럭셔리 니트.jpg,top,"1.48848,2.1615453,0.0,0.0,0.02477318,0.0,0.0,0.62935144,0.0,0.0,0.0,0.0,1.3199369,0.0,0.9733767,0.0,1.6597409,0.0,0.0,0.0,0.0,0.0,2.1276617,0.0,1.7799501,1.2820752,4.0414004,0.0,0.0,0.0,1.7076347,1.513104,0.0,0.0,0.0,0.0,0.012193501,0.0,0.0,0.0,0.0,0.0,0.0,2.2402434,3.070313,0.0,0.0,2.302797,4.543396,0.88692445,2.5142417,0.0,0.5498986,0.0,0.28143328,1.5726585,0.5248966,0.0,0.0,1.3573117,0.21506009,0.0,1.0784726,0.0",4,0.9547599
108,홀즌 페인팅 린넨 티셔츠.jpg,top,"1.5723821,2.1975882,0.0,0.0,0.09179604,0.0,0.0,0.7830441,0.0,0.0,0.0,0.0,1.2281085,0.0,0.7966919,0.0,0.90965647,0.0,0.0,0.0,0.0,0.0,1.5549402,0.17849737,1.2084016,1.057986,4.211629,0.0,0.0,0.0,1.6908243,1.8273597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008732557,0.0,0.0,1.5776634,3.2605286,0.0,0.0,2.0668678,4.4522433,1.3271145,2.697374,0.0,0.27577448,0.0,0.29545748,2.065152,0.39494157,0.0,0.0,1.2017858,0.0,0.0,0.72108626,0.0",2,1.1257478
109,화이트 앵커 티셔츠 _ WHITE ANCHOR TSHIRT.jpeg,top,"1.5902288,1.9500629,0.0,0.0,0.0,0.0,0.0,1.2560804,0.0,0.0,0.0,0.0,1.3166198,0.0,0.9701932,0.11412138,1.7439712,0.0,0.0,0.28661036,0.0,0.0,2.016141,0.0,1.1539123,0.9692083,3.7714138,0.0,0.0,0.0,2.6313984,2.1239467,0.0,0.0,0.0,0.0,0.16010126,0.0,0.0,0.0,0.04603696,0.0,0.0,1.6979122,3.1256328,0.0,0.0,2.669313,4.569768,0.82961583,2.229792,0.0,0.60634804,0.0,0.37505722,1.3683611,0.9502862,0.0,0.0,1.0871011,0.015789047,0.0,0.0,0.0",11,1.4960912
110,후드 니트.jpeg,top,"1.1258924,2.121461,0.0,0.0,0.0,0.0,0.0,0.6309311,0.0,0.0,0.0,0.0,1.2774556,0.0,1.1540337,0.0,1.5733145,0.0,0.0,0.15071547,0.0,0.0,1.6481566,0.0,1.2271454,1.1684716,3.938022,0.0,0.0,0.0,1.6493367,0.9193177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8484018,3.2520318,0.0,0.0,2.0572252,4.744047,1.1396815,2.842914,0.0,0.49864507,0.0,0.05365336,1.5713183,0.7134329,0.0,0.0,1.1278192,0.120803386,0.0,1.0031271,0.0",2,1.0754809
111,후드 반팔 티셔츠 LOTSM401_LG.jpg,top,"1.6850754,1.7449293,0.0,0.0,0.0,0.0,0.0,0.75922346,0.0,0.0,0.0,0.0,1.0654774,0.0,1.1229906,0.5692936,1.6446457,0.0,0.0,0.017437816,0.0,0.0,2.143416,0.0,1.48029,1.1365286,4.1639643,0.0,0.0,0.0,1.819419,1.6588051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4752936,2.904898,0.0,0.0,2.2124887,3.9709723,0.42370456,2.5469427,0.0,0.092231035,0.0,0.44294375,1.6981468,0.76797736,0.0,0.0,1.0055091,0.3431052,0.0,0.090439916,0.0",11,0.9509266
112,히든 프리지아 쉬폰 블라우스.jpg,top,"1.1889324,1.2954488,0.0,0.0,0.0,0.0,0.0,0.8517199,0.0,0.31728783,0.0,0.0,1.2350106,0.0,0.5699632,0.3015565,1.524545,0.0,0.0,0.0,0.0,0.0,1.9630485,0.020297587,1.6856275,0.18241334,3.8512073,0.0,0.0,0.0816406,2.1017718,1.6595664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.940546,2.6969218,0.0,0.0,1.8330648,4.4147463,1.4200151,2.9067054,0.0,0.7021519,0.0,0.7331004,1.4299155,0.7274413,0.0,0.0,0.41918015,0.21823505,0.0,0.3360654,0.0",3,1.5128636
113,히폰스 두줄나시.jpg,top,"1.2747974,2.2160077,0.0,0.0,0.0,0.0,0.0,0.8910027,0.0,0.0,0.0,0.0,1.4011608,0.0,0.7107568,0.0,1.3885176,0.0,0.0,0.17271948,0.0,0.0,2.1667583,0.0,1.0245358,1.0216091,3.8626013,0.0,0.0,0.0,1.8920894,1.2236252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8620882,2.9300501,0.0,0.0,2.5829482,4.4173756,0.80126595,2.1523104,0.0,0.3615005,0.0,0.16416526,1.8860104,1.0542191,0.0,0.0,0.8066554,0.027079254,0.0,0.6607852,0.0",2,1.0894058
0,2023fw벨티드 플레어 원피스.jpg,onepiece,"0.7662474,0.0,0.0,0.11360198,3.418676,0.0,1.2215772,1.1744598,1.0078819,1.0577009,0.2768004,0.0,0.0,0.0,0.0,0.5586845,3.1872063,0.0,4.832131,0.0,0.0,0.0,0.0,0.0,0.10635531,1.1132967,0.0,3.2954848,0.0,1.5446175,0.0,0.0,0.0,2.099355,0.0,0.0,0.0,0.27805722,0.0,0.0,2.8991766,1.352051,2.1016505,0.8448243,0.93127465,1.592535,0.42019248,0.08225477,1.8797666,1.3975691,2.0995035,0.9384514,0.0,0.0,0.0,0.0,0.5587114,3.0311608,0.0,0.0,4.4430523,1.4694334,2.0418591,2.1876526",9,0.970163881778717
1,55-77 가능 [퀸이즈] 크리 터틀넥 골지 주름 슬림핏 니트 원피스.jpg,onepiece,"0.6008705,0.0,0.0,0.8256532,3.2301657,0.0,1.2892051,0.883324,0.8834089,0.997167,0.0,0.0,0.0,0.0,0.0,0.5792464,3.1741877,0.0,4.3871984,0.0,0.2879284,0.0,0.0,0.0,0.0,1.0074625,0.0,3.410695,0.0,0.7814404,0.0,0.0,0.0,1.7397398,0.0,0.0,0.0,1.1311748,0.0,0.0,2.711114,1.5913218,2.2597306,0.6534394,0.0,2.004158,0.31282657,0.06448376,1.3363874,1.3029969,1.769078,0.592795,0.0,0.0,0.0,0.0,0.961691,2.5236647,0.0,0.0,4.6015635,1.0885038,1.6609485,2.286362",7,0.9650850296020508
2,55-77 추천 [퀸이즈] 버디 샤피 레이어드 카라 원피스.jpg,onepiece,"0.0,0.0,0.0,1.3619975,3.358991,0.0,1.6883558,1.2533629,0.4542001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8625448,0.0,3.8259768,0.0,0.10302597,0.0,0.0,0.0,0.0,1.2639887,0.0,3.00169,0.0,0.41093254,0.0,0.22187924,0.0,1.7489458,0.0,0.0,0.0,0.19197166,0.0,0.0,3.2602391,1.9009666,1.9911623,0.6003169,0.4354786,1.528018,0.0,0.0,1.8909664,1.1441284,2.780903,0.0,0.0,0.0,0.0,0.0,0.6400033,3.012184,0.0,0.0,4.184246,0.24349296,2.019783,2.5151172",13,0.0
3,55-77 추천 [퀸이즈] 칸 라벨 포켓 후드 원피스.jpg,onepiece,"0.39936972,0.0,0.0,0.094156146,3.1568637,0.0,1.2864988,1.0145777,1.2926643,1.310698,0.28514084,0.0,0.0,0.18037707,0.0,0.28491613,2.581069,0.0,4.409966,0.0,0.0,0.0,0.0,0.0,0.0,1.0997814,0.0,3.3459654,0.0,1.5262729,0.0,0.0,0.0,2.1013594,0.0,0.0,0.0,0.21358097,0.0,0.0,2.9545135,1.1114835,1.9348786,0.5198449,0.42345294,1.8437295,0.8031604,0.0,1.6321812,1.5243318,2.0385768,1.1131252,0.0,0.0,0.0,0.0,1.0929189,2.942262,0.0,0.0,3.7211773,1.6216947,1.5694959,2.3350408",5,0.9854079484939576
4,55-77 추천 [퀸이즈] 크리트 프릴 긴팔 원피스.jpg,onepiece,"0.6430728,0.0,0.0,0.9938134,2.9038959,0.0,1.4461144,0.95256037,0.7466427,1.2489691,0.19221735,0.0,0.0,0.0,0.0,0.34076345,2.874323,0.0,3.831574,0.0,0.23916274,0.0,0.0,0.0,0.0,1.2178488,0.0,3.1586525,0.0,1.0790045,0.0,0.0,0.0,1.6983535,0.0,0.0,0.0,1.0486374,0.0,0.0,2.9923737,1.2987041,2.107348,0.4945805,0.039809823,2.0594919,0.6149963,0.0,1.5662252,1.1714342,1.8489687,0.8855381,0.0,0.0,0.0,0.0,1.007081,2.5234494,0.0,0.0,4.532093,1.3592632,1.2977848,2.0408945",0,1.0378069877624512
5,55-77 추천 [퀸이즈] 하트 패턴 진주 스트랩 포인트 원피스.jpg,onepiece,"0.9445492,0.0,0.0,0.5925717,3.4504044,0.0,1.3489158,1.1122323,0.98759973,0.5376432,0.35340035,0.0,0.0,0.0,0.0,0.23867264,3.160471,0.0,4.461813,0.0,0.2796082,0.0,0.0,0.0,0.0,0.97004986,0.0,3.3176923,0.0,1.5223664,0.0,0.0,0.0,2.0151286,0.0,0.0,0.0,0.5107806,0.0,0.0,2.6627812,1.8959172,1.9195099,0.8067137,0.3203544,2.218378,0.0,0.0,1.6743363,1.5136557,2.4087229,0.34547275,0.0,0.0,0.0,0.0,0.99069434,2.6337428,0.0,0.0,4.5786867,1.577613,1.586673,2.3830185",7,1.502395749092102
6,Hazel tweed vest dress with belt [White].jpg,onepiece,"0.13332006,0.0,0.0,0.13303518,3.3362405,0.0,1.389234,0.8992062,1.2109356,1.1858523,0.0,0.0,0.0,0.0,0.0,0.3621213,2.921254,0.0,4.345433,0.0,0.0,0.0,0.0,0.0,0.0,1.410138,0.0,3.265594,0.0,1.5988038,0.0,0.0,0.0,2.1388638,0.0,0.0,0.0,0.57937455,0.0,0.0,2.5848105,1.6990803,2.07239,0.60979915,0.36496645,1.9882231,0.6680856,0.0,1.7738626,1.356862,2.222322,1.0850486,0.0,0.0,0.0,0.0,0.88416815,2.9437182,0.0,0.0,3.9885364,1.3663118,1.6878182,1.9045894",5,1.0173671245574951
7,KARRA (~88)빅도트버튼리본플리츠원피스_KK1FOP059A.jpg,onepiece,"0.8562044,0.0,0.0,0.254416,3.7221503,0.0,1.7848943,1.884553,1.1902122,1.5015613,0.0,0.0,0.0,0.0,0.0,0.0042160153,2.516461,0.0,4.5112267,0.0,0.0,0.0,0.0,0.0,0.0,1.351249,0.0,3.328096,0.0,1.8079215,0.0,0.0,0.0,1.590843,0.0,0.0,0.0,0.14036179,0.0,0.0,3.3525164,1.457025,1.886308,0.780655,0.26575494,1.5866027,0.6968361,0.3388425,1.5124886,1.1612875,1.6895924,0.56388044,0.0,0.0,0.0,0.0,0.7306374,2.9845917,0.0,0.0,4.175152,1.457356,1.6425024,2.7011948",5,1.809593915939331
8,KARRA 미디핀턱버튼원피스_A3F0479.jpg,onepiece,"0.991667,0.0,0.0,0.04434955,3.2493358,0.0,1.1965184,0.90886414,1.0750775,1.1360469,0.16036163,0.0,0.0,0.0,0.0,0.03695768,2.8981647,0.0,4.135383,0.0,0.22080696,0.0,0.0,0.0,0.0,1.1287634,0.0,3.3095214,0.0,1.1890899,0.0,0.0,0.0,1.4597083,0.0,0.0,0.0,0.5433854,0.0,0.0,3.3619666,1.0024438,2.2983742,0.51433337,0.26545447,1.8524654,0.25721967,0.0,2.075753,1.8430725,2.2354362,0.6304164,0.0,0.0,0.0,0.0,0.92220014,2.6108649,0.0,0.0,4.113783,1.0604904,1.6847105,1.9875987",5,1.2975938320159912
9,KARRA 배색트임넥원피스_A0903M.jpg,onepiece,"1.1004212,0.0,0.0,0.51876295,3.184957,0.0,1.6070008,0.6388628,1.0809295,0.94500697,0.5478798,0.0,0.0,0.0,0.0,0.110924065,2.7498882,0.0,4.380303,0.0,0.4785077,0.0,0.0,0.0,0.0,1.2554908,0.0,2.7094455,0.0,1.2513006,0.0,0.0,0.0,1.4242654,0.0,0.0,0.0,0.7859012,0.0,0.0,3.1438506,1.4025235,2.2706497,1.1521013,0.37839627,2.1867175,0.6329533,0.0,1.595038,0.9698229,1.8148144,0.29998994,0.0,0.0,0.0,0.0,1.1399809,2.890001,0.0,0.0,4.162462,1.9128528,1.3685403,1.9384348",0,1.361545443534851
10,KARRA 버튼플레어원피스_A0183M.jpg,onepiece,"1.0852134,0.0,0.0,0.81491697,3.1996145,0.0,1.8430542,0.7061951,0.1117377,1.2264347,0.0,0.0,0.0,0.0,0.0,0.95073676,3.215801,0.0,4.3509674,0.0,0.546981,0.0,0.0,0.0,0.027701497,1.1298311,0.0,3.375893,0.0,0.46050835,0.0,0.0,0.0,1.5856174,0.0,0.35815853,0.0,0.49866068,0.0,0.0,3.0815268,1.4417675,1.7476763,1.6710386,0.1742997,1.2800214,0.5114633,0.0,1.7944233,1.5046184,1.5778801,1.4669416,0.0,0.0,0.0,0.0,1.2767707,2.4648046,0.0,0.0,4.8104267,1.3929707,1.4186473,2.063378",7,2.099132537841797
11,KARRA 시스루플라워레이어드원피스_A3F0252.jpg,onepiece,"0.9631357,0.0,0.0,0.32030338,2.7006865,0.0,1.4881113,1.2464497,0.8417312,0.8657995,0.6282555,0.0,0.0,0.0,0.0,0.0,3.4693785,0.0,3.811131,0.0,0.0,0.0,0.0,0.0,0.0,1.2884324,0.14454398,3.0082989,0.0,0.4775548,0.0,0.0,0.0,1.7361116,0.0,0.0975427,0.0,0.6127584,0.0,0.0,3.0856822,1.8651131,1.7411057,0.55952334,0.3472293,1.3672829,0.14510882,0.0,1.9377557,1.4870859,1.8296896,0.90866804,0.0,0.0,0.0,0.09727466,0.5250889,2.3240373,0.0,0.0,4.1849165,1.6607401,1.6636655,2.4422646",8,1.436797261238098
12,KARRA 카라어텀원피스+벨트SET_A3F0573.jpg,onepiece,"0.6029916,0.0,0.0,0.49070632,3.1778553,0.0,1.4442155,1.08801,0.8871531,1.1003302,0.06955069,0.0,0.0,0.0,0.0,0.30151764,2.9055061,0.0,3.8974612,0.0,0.0,0.0,0.0,0.0,0.09714472,0.70223045,0.0,3.196124,0.0,1.0458403,0.0,0.0,0.0,2.1267297,0.0,0.0,0.0,0.93458855,0.0,0.0,3.108677,1.4814415,2.2984023,0.30845344,0.25113302,1.5241921,0.24795222,0.0,1.5817434,1.5885355,1.6478409,1.0309441,0.0,0.0,0.0,0.0,1.1220095,2.144617,0.0,0.0,4.0789638,1.1814528,1.0476072,2.1599274",7,1.142153263092041
13,KARRA 포켓롱원피스_A0853M.jpg,onepiece,"0.9033284,0.0,0.0,0.56642306,3.2658472,0.0,1.7297809,0.676078,1.094996,1.2630515,0.14102882,0.0,0.0,0.0,0.0,0.6344074,3.1094894,0.0,4.114972,0.0,0.0,0.0,0.0,0.0,0.0,0.99928594,0.0,3.2054396,0.0,1.6485949,0.0,0.0,0.0,2.2595139,0.0,0.0,0.0,0.6650797,0.0,0.0,3.3151972,1.1520655,2.3150322,0.87500906,0.0884172,2.1448896,0.7685318,0.19930327,1.9837215,1.3512795,2.1009507,0.7167398,0.0,0.0,0.0,0.0,1.0286747,3.023972,0.0,0.0,4.6365166,1.4325502,1.4483383,2.2703896",4,1.201362133026123
14,KARRA 프릴체크미디원피스_KB3SOP070C.jpg,onepiece,"0.86461383,0.0,0.0,0.282776,2.9152164,0.0,1.4942627,1.4376755,1.4336281,1.162164,0.0,0.0,0.0,0.028502107,0.0,0.35351595,2.9325366,0.0,4.6892414,0.0,0.0,0.0,0.0,0.0,0.18325388,1.4245441,0.0,3.2266479,0.0,0.8542398,0.0,0.0,0.0,1.3691726,0.0,0.0,0.0,0.54366827,0.0,0.0,3.008408,1.250809,2.1728547,0.3726319,0.08329791,1.9647377,0.6605078,0.0,1.8087202,1.6522148,1.8271171,0.79880345,0.0,0.0,0.0,0.13481921,0.7237901,2.8347554,0.0,0.0,4.250296,1.3186486,1.7372987,2.5136209",5,1.3538141250610352
15,qop1047 체크 플리츠 서스펜더 원피스.png,onepiece,"0.7168325,0.0,0.0,0.33264577,3.0042486,0.0,1.5610859,1.191963,0.994208,0.93039274,0.37962663,0.0,0.0,0.093535036,0.0,0.0,3.624359,0.0,4.331801,0.0,0.0,0.0,0.0,0.0,0.0,1.1600354,0.0,3.3784733,0.0,1.3769499,0.0,0.0,0.0,2.188206,0.0,0.037966713,0.0,0.74519753,0.0,0.0,2.815329,1.4408453,1.9513892,0.8557584,0.0,1.8112476,0.21240395,0.0,1.3321316,1.7139359,1.7897276,0.7224804,0.0,0.0,0.0,0.0,0.9250159,1.9824231,0.0,0.0,4.891631,1.536224,1.8234073,2.208331",10,1.4165730476379397
16,S87 양트임 핀턱 바스락 원피스(벨트SET).jpg,onepiece,"0.32679993,0.0,0.0,0.12004185,2.9994698,0.0,1.2195497,1.0448067,0.7554412,0.8836304,0.020207942,0.0,0.0,0.0,0.0,0.52598846,2.9898243,0.0,4.360328,0.0,0.0,0.0,0.0,0.0,0.19596708,1.0189912,0.0,3.4262607,0.0,1.2582107,0.0,0.0,0.0,1.8733246,0.0,0.0,0.0,0.96276784,0.0,0.0,2.9703846,1.2964187,2.2091384,0.6232319,0.12080684,1.9065726,0.47017956,0.0,1.767386,1.2580496,1.9951544,0.92087245,0.0,0.0,0.0,0.0,1.1105623,2.5354342,0.0,0.0,4.545424,0.8563281,1.6140839,2.0576875",10,0.9982632398605348
17,WOMAN GNRL 후드 롱 원피스 [MELANGE GRAY] _ WBC2L15510.jpg,onepiece,"0.94958425,0.0,0.0,0.2055713,3.4640343,0.0,1.1064287,0.990603,0.64544046,0.9327008,0.33896136,0.0,0.0,0.0,0.0,0.7629395,2.9888802,0.0,4.3666296,0.0,0.32017517,0.0,0.0,0.0,0.38159955,0.7813244,0.0,3.3038695,0.0,1.2103515,0.0,0.0,0.0,1.7451265,0.0,0.0,0.0,0.6670986,0.0,0.0,2.8685153,1.4766278,2.383598,0.80378556,0.17745626,1.8453662,0.4951315,0.36358118,1.824641,1.6550885,1.8605868,0.73259336,0.0,0.0,0.0,0.0,1.1656597,2.8412154,0.0,0.0,4.552004,1.3315122,1.6430925,2.1300926",6,0.8992636203765869
18,WOMAN 리브드 플레어 원피스 [BEIGE] _ WBC2L52519.jpg,onepiece,"0.5886267,0.0,0.0,0.19007611,3.0934696,0.0,1.1731294,0.9231895,0.60878307,0.92274445,0.14400381,0.0,0.0,0.0,0.0,0.62825364,2.983254,0.0,4.419675,0.0,0.1034745,0.0,0.0,0.0,0.1792047,0.8135059,0.0,3.1976652,0.0,1.3882208,0.0,0.0,0.0,1.9384474,0.0,0.0,0.0,0.850312,0.0,0.0,3.1639051,1.4886574,2.2940228,0.41375577,0.43255335,1.7735295,0.2568792,0.0,1.6183043,1.4978023,1.9493179,1.0457613,0.0,0.0,0.0,0.0,0.853292,2.5683026,0.0,0.0,4.54562,1.3967695,1.4637268,2.183683",10,0.6877170205116272
19,WOMAN 벌룬 스트라이프 하프 원피스 [GREEN] _ WBC2L15514.jpg,onepiece,"0.4713135,0.0,0.0,0.48701096,3.169774,0.0,1.2574044,0.61737096,0.8645853,1.0305008,0.17803147,0.0,0.0,0.0,0.0,0.5960575,3.1372542,0.0,4.173488,0.0,0.060136646,0.0,0.0,0.0,0.0,1.3214867,0.0,3.3150778,0.0,1.2772563,0.0,0.0,0.0,1.8621141,0.0,0.0,0.0,0.7588519,0.0,0.0,2.7556343,1.6403012,1.9492586,0.88101053,0.3638692,2.0195765,0.09816384,0.0,1.4688327,1.7489089,1.7412916,0.99539566,0.0,0.0,0.0,0.0,0.91580105,2.2796195,0.0,0.0,4.3738527,1.441812,1.4884764,2.3843408",10,1.1086345911026
20,WOMAN 에센셜 데일리 원피스 [SKY BLUE] _ WBC2L15523.jpg,onepiece,"0.49473208,0.0,0.0,0.26634848,3.1716266,0.0,1.1092389,0.97014904,1.2096912,1.1214292,0.0,0.0,0.0,0.0,0.0,0.41396892,2.8702192,0.0,4.2804184,0.0,0.0,0.0,0.0,0.0,0.08644295,1.1085129,0.0,3.3117275,0.0,1.5314918,0.0,0.0,0.0,1.9460409,0.0,0.0,0.0,0.87009525,0.0,0.0,2.7709332,1.6061237,2.288371,0.74835277,0.5143435,2.0340335,0.5462084,0.04974723,1.6599748,1.4055029,1.8467892,1.0189338,0.0,0.0,0.0,0.0,0.8160423,2.8219595,0.0,0.0,4.093174,1.3730351,1.5207196,2.110464",5,0.7836600542068481
21,WOMAN 에센셜 미니멀 원피스 [BEIGE] _ WBC2L15518.jpg,onepiece,"0.62079036,0.0,0.0,0.1739701,3.1190937,0.0,0.8439815,0.84315175,0.9802097,1.0652778,0.044983715,0.0,0.0,0.0,0.0,0.056313872,2.971833,0.0,4.352333,0.0,0.0,0.0,0.0,0.0,0.0,1.0811422,0.0,3.1600113,0.0,1.5190904,0.0,0.0,0.0,1.8609064,0.0,0.0,0.0,0.5162424,0.0,0.0,2.8134303,1.2675941,2.157127,0.5940558,0.5459568,1.9640834,0.6179153,0.0,1.7656311,1.466146,2.0978022,1.1261246,0.0,0.0,0.0,0.0,0.6323103,2.5508237,0.0,0.0,4.031655,1.4882715,1.6145678,1.9373643",5,0.7293877601623535
22,WOMAN 프리스틴 셔츠 원피스 [BEIGE] _ WBC1L15505.jpg,onepiece,"0.51560235,0.0,0.0,0.3050568,3.1376472,0.0,1.2524885,1.0120318,1.2146814,0.9974742,0.0029297173,0.0,0.0,0.0,0.0,0.0,2.681386,0.0,4.235968,0.0,0.0,0.0,0.0,0.0,0.0,1.0894222,0.0,3.1799371,0.0,1.4665854,0.0,0.0,0.0,1.9659296,0.0,0.0,0.0,0.70598555,0.0,0.0,2.6559348,1.3017707,2.056167,0.74418783,0.4424111,2.0760481,0.4730668,0.0,1.8257897,1.1299453,1.804755,0.9586879,0.0,0.0,0.0,0.0,0.8020579,2.7283387,0.0,0.0,4.156897,1.3778492,1.5526186,1.9433218",5,0.7708922624588013
23,WOMAN 프리스틴 셔츠 원피스 [BLACK] _ WBC1L15505.jpg,onepiece,"0.5784539,0.0,0.0,0.12797439,3.0455964,0.0,1.3797721,0.8927805,0.9126982,1.0233581,0.44465768,0.0,0.0,0.0,0.0,0.16194037,3.0199232,0.0,4.587329,0.0,0.0,0.0,0.0,0.0,0.020735621,0.7526581,0.0,3.1645956,0.0,1.3543806,0.0,0.0,0.0,2.103795,0.0,0.0,0.0,0.7854762,0.0,0.0,2.938008,1.2234194,2.0219407,0.39981496,0.067401946,1.7053092,0.4105695,0.0,1.4360554,1.5252113,2.0352714,1.2944069,0.0,0.0,0.0,0.0,0.8785974,2.4720032,0.0,0.0,4.437097,1.4783138,1.5625687,2.0714235",12,0.460137277841568
24,WOMAN 플라워 패턴 러플 밴딩 원피스 [BLACK] _ WBC2L15522.jpg,onepiece,"0.5792711,0.0,0.0,0.20231223,3.195239,0.0,1.260468,0.9896124,0.7571728,0.5140672,0.40568018,0.0,0.0,0.0,0.0,0.41103894,3.1265292,0.0,4.4996433,0.0,0.2263928,0.0,0.0,0.0,0.12561941,0.50909495,0.0,3.0263586,0.0,0.9551881,0.0,0.23309255,0.0,2.112146,0.0,0.0,0.0,0.5634082,0.0,0.0,2.9392889,1.4380751,2.3326557,0.9760169,0.36018515,1.5805581,0.0,0.0,1.7857307,1.416314,2.1625514,0.7180315,0.0,0.0,0.0,0.0,0.41189164,2.7071536,0.0,0.0,4.323639,1.5031705,2.043663,2.3054557",2,1.0546785593032837
